"id","description"
"115","Compressor"
"116","Pump"
"117","Diaphagm"
"118","Nozzle"
"119","Casing Drain (Gate Valve)"
"120","Seal (Labyrinth, Gland Packing, Carbon Ring)"
"121","Blade and Shroud"
"122","Shaft"
"123","Thrust and Radial Bearing"
"124","Condenser"
"125","Tube (In Case of Shell and Tube Type Only)"
"126","Stream Ejector"
"127","Trip Throttle Valve"
"128","Governer Valve"
"129","Start Energy (Support)"
"130","Starting Unit"
"131","Air Inlet"
"132","Compresor Rotor"
"133","Compressor Stator"
"134","Combustion Chamber"
"135","Burners (Include Fuel Nozzle)"
"136","Fuel Filter"
"137","HP Turbine"
"138","Thrust Bearing"
"139","Radial Bearing"
"140","Seals (Labyrinth, Honeycomb)"
"141","Fuel Valves (Control Valve)"
"142","Compressor Casing"
"143","High Pressure Turbine Casing"
"144","Rotor"
"145","Stator"
"146","Seals (Honeycomb)"
"147","Exhaust"
"148","Key"
"149","Bearing"
"150","Blade"
"151","Plenum"
"152","Tube"
