"id","description"
"3346","Compressor"
"3347","Pump"
"3348","Diaphagm"
"3349","Nozzle"
"3350","Casing Drain (Gate Valve)"
"3351","Seal (Labyrinth, Gland Packing, Carbon Ring)"
"3352","Blade and Shroud"
"3353","Shaft"
"3354","Thrust and Radial Bearing"
"3355","Condenser"
"3356","Tube (In Case of Shell and Tube Type Only)"
"3357","Stream Ejector"
"3358","Trip Throttle Valve"
"3359","Governer Valve"
"3360","Start Energy (Support)"
"3361","Starting Unit"
"3362","Air Inlet"
"3363","Compresor Rotor"
"3364","Compressor Stator"
"3365","Combustion Chamber"
"3366","Burners (Include Fuel Nozzle)"
"3367","Fuel Filter"
"3368","HP Turbine"
"3369","Thrust Bearing"
"3370","Radial Bearing"
"3371","Seals (Labyrinth, Honeycomb)"
"3372","Fuel Valves (Control Valve)"
"3373","Compressor Casing"
"3374","High Pressure Turbine Casing"
"3375","Rotor"
"3376","Stator"
"3377","Seals (Honeycomb)"
"3378","Exhaust"
"3379","Key"
"3380","Bearing"
"3381","Blade"
"3382","Plenum"
"3383","Tube"
