"id","description"
"3127","Misalignment"
"3128","Corrosion"
"3129","Erosion"
"3130","Looseness (Bearing)"
"3131","Looseness (Internal Parts)"
"3132","Insufficient Lubrication (Bearing)"
"3133","Breakage (Radial Bearing)"
"3134","Breakage (Thrust Bearing)"
"3135","Surge"
"3136","Blockage/Plugged (Fouling)"
"3137","Leakage (Shaft Seal or Flange or Casing)"
"3138","Leakage (Dry Gas Seal or Oil Film Seal or Labyrinth Seal)"
"3139","Leakage (Lube Oil)"
"3140","Leakage (Seal Oil)"
"3141","Looseness (Radial Bearing)"
"3142","Looseness (Thrust Bearing)"
"3143","Breakage (Bearing)"
"3144","Breakage (Impeller)"
"3145","Breakage (Shaft)"
"3146","Unbalance (Rotating Parts)"
"3147","Wear (Internal Parts)"
"3148","Structural Deficiency (Footing or Base Plate)"
"3149","Proces Deviation"
"3150","Breakage (Bolt)"
"3151","Breakage (Crosshead and Crosshead Pin)"
"3152","Breakage (Diaphagm)"
"3153","Breakage (Plunger)"
"3154","Deformation (Shaft)"
"3155","Fatigue (Crosshead Pin)"
"3156","Fatigue (Shaft)"
"3157","Insufficient Lubrication (Crosshead)"
"3158","Looseness (Bolt)"
"3159","Overpressure"
"3160","Overpressure (Relief Valve Malfunction)"
"3161","Wear (Crosshead)"
"3162","Material Deterioration (O-Ring, Packing)"
"3163","Leakage (Packing)"
"3164","Leakage (Shaft Seal or Compressor Casing)"
"3165","Control Failure (Capacity Control)"
"3166","Leakage (Relief Valve, Suction Valve, Discharge Valve)"
"3167","Leakage (Relief Valve Malfunction)"
"3168","Wear (Shaft)"
