"id","parent","asset_name","description","cat_id","type_id","level","rpn","drawing","picture_path","severity","occur","detect","color","complex_node","business_unit_type_colums","created_by","updated_by","active","project_id","created_at","updated_at"
"249","","Level 01","","","","1","","","","","","","#A0A0A0","","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"250","249","Level 02","","","","2","","","","","","","#A0A0A0","","1","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"251","250","level 03","sadasdasdasd","","","3","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"252","251","level 04","","","","4","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"253","252","level 05","","","","5","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"254","253","level 06","","","","6","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"255","254","level 07","","","","7","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"256","255","level 08","","272","873","8","600","","","3","7","8","#FFC000","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"257","250","l,l;l;,","","","","3","","","","","","","#A0A0A0","184","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"258","250","dfdfdf","","","","3","","","","","","","#A0A0A0","185","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"259","250","Level 030303","","","","3","","","","","","","#A0A0A0","186","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"260","250","Level 033333","","","","3","","","","","","","#A0A0A0","187","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"261","255","Level 08 001","wqeqweqweqwe","273","874","8","120","","","1","6","10","#FFFF00","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"262","255","Level 08 002","fggtertertgergert","10","872","8","128","","","2","4","8","#FFFF00","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"263","252","kk","","","","5","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"264","250","dfsdfdsf","","","","3","","","","","","","#A0A0A0","236","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"265","251","vvvvv","","","","4","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"266","251","fgfgfgfgfgfgfgfg","","","","4","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"267","251","5555","","","","4","","","","","","","#A0A0A0","58","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"268","249","5164564","","","","2","","","","","","","#A0A0A0","","2","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
"269","268","sdsdsd","","","","3","","","","","","","#A0A0A0","241","","1","","1","148","2016-02-04 11:56:22","2016-02-04 11:56:22"
